Name,SKU,Link,Price,Step File
"1121 Series Low-Side U-Channel (33 Hole, 816mm Length)",1121-0033-0816,https://www.gobilda.com/1121-series-low-side-u-channel-33-hole-816mm-length/,33.99,https://www.gobilda.com/content/step_files/1121-0033-0816.zip
"5202 Series Yellow Jacket Planetary Gear Motor (99.5:1 Ratio, 24mm Length 6mm D-Shaft, 60 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0100,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-99-5-1-ratio-24mm-length-6mm-d-shaft-60-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0100.zip
"1120 Series U-Channel (21 Hole, 528mm Length)",1120-0021-0528,https://www.gobilda.com/1120-series-u-channel-21-hole-528mm-length/,23.99,https://www.gobilda.com/content/step_files/1120-0021-0528.zip
"5204 Series Yellow Jacket Planetary Gear Motor (3.7:1 Ratio, 80mm Length 8mm REX™ Shaft, 1620 RPM, 3.3 - 5V Encoder)",5204-8002-0003,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-3-7-1-ratio-80mm-length-8mm-rex-shaft-1620-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0003.zip
"1120 Series U-Channel (29 Hole, 720mm Length)",1120-0029-0720,https://www.gobilda.com/1120-series-u-channel-29-hole-720mm-length/,30.99,https://www.gobilda.com/content/step_files/1120-0029-0720.zip
"1121 Series Low-Side U-Channel (41 Hole, 1008mm Length)",1121-0041-1008,https://www.gobilda.com/1121-series-low-side-u-channel-41-hole-1008mm-length/,41.99,https://www.gobilda.com/content/step_files/1121-0041-1008.zip
"1120 Series U-Channel (33 Hole, 816mm Length)",1120-0033-0816,https://www.gobilda.com/1120-series-u-channel-33-hole-816mm-length/,34.99,https://www.gobilda.com/content/step_files/1120-0033-0816.zip
"1120 Series U-Channel (25 Hole, 624mm Length)",1120-0025-0624,https://www.gobilda.com/1120-series-u-channel-25-hole-624mm-length/,27.99,https://www.gobilda.com/content/step_files/1120-0025-0624.zip
"1121 Series Low-Side U-Channel (37 Hole, 912mm Length)",1121-0037-0912,https://www.gobilda.com/1121-series-low-side-u-channel-37-hole-912mm-length/,37.99,https://www.gobilda.com/content/step_files/1121-0037-0912.zip
"1120 Series U-Channel (18 Hole, 456mm Length)",1120-0018-0456,https://www.gobilda.com/1120-series-u-channel-18-hole-456mm-length/,20.99,https://www.gobilda.com/content/step_files/1120-0018-0456.zip
"5202 Series Yellow Jacket Planetary Gear Motor (3.7:1 Ratio, 1620 RPM, 3.3 - 5V Encoder)",5202-0002-0003,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-3-7-1-ratio-1620-rpm-3-3-5v-encoder/,39.99,https://www.gobilda.com/content/step_files/5202-0002-0003.zip
"1120 Series U-Channel (17 Hole, 432mm Length)",1120-0017-0432,https://www.gobilda.com/1120-series-u-channel-17-hole-432mm-length/,19.99,https://www.gobilda.com/content/step_files/1120-0017-0432.zip
"1120 Series U-Channel (49 Hole, 1200mm Length)",1120-0049-1200,https://www.gobilda.com/1120-series-u-channel-49-hole-1200mm-length/,49.99,https://www.gobilda.com/content/step_files/1120-0049-1200.zip
"1121 Series Low-Side U-Channel (45 Hole, 1104mm Length)",1121-0045-1104,https://www.gobilda.com/1121-series-low-side-u-channel-45-hole-1104mm-length/,45.99,https://www.gobilda.com/content/step_files/1121-0045-1104.zip
"5202 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 6mm D-Shaft, 117 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0051,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-50-9-1-ratio-24mm-length-6mm-d-shaft-117-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0051.zip
"5202 Series Yellow Jacket Planetary Gear Motor (71.2:1 Ratio, 24mm Length 6mm D-Shaft, 84 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0071,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-71-2-1-ratio-24mm-length-6mm-d-shaft-84-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0071.zip
"5202 Series Yellow Jacket Motor (1:1 Ratio, 24mm Length 6mm D-Shaft, 6000 RPM, 3.3 - 5V Encoder)",5202-0002-0001,https://www.gobilda.com/5202-series-yellow-jacket-motor-1-1-ratio-24mm-length-6mm-d-shaft-6000-rpm-3-3-5v-encoder/,39.99,https://www.gobilda.com/content/step_files/5202-0002-0001.zip
"5202 Series Yellow Jacket Planetary Gear Motor (139:1 Ratio, 24mm Length 6mm D-Shaft, 43 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0139,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-139-1-ratio-24mm-length-6mm-d-shaft-43-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0139.zip
"1120 Series U-Channel (45 Hole, 1104mm Length)",1120-0045-1104,https://www.gobilda.com/1120-series-u-channel-45-hole-1104mm-length/,46.99,https://www.gobilda.com/content/step_files/1120-0045-1104.zip
"5203 Series Yellow Jacket Planetary Gear Motor (3.7:1 Ratio, 24mm Length 8mm REX™ Shaft, 1620 RPM, 3.3 - 5V Encoder)",5203-2402-0003,https://www.gobilda.com/copy-of-5202-series-yellow-jacket-planetary-gear-motor-3-7-1-ratio-1620-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0003.zip
"1120 Series U-Channel (16 Hole, 408mm Length)",1120-0016-0408,https://www.gobilda.com/1120-series-u-channel-16-hole-408mm-length/,18.99,https://www.gobilda.com/content/step_files/1120-0016-0408.zip
"1121 Series Low-Side U-Channel (29 Hole, 720mm Length)",1121-0029-0720,https://www.gobilda.com/1121-series-low-side-u-channel-29-hole-720mm-length/,29.99,https://www.gobilda.com/content/step_files/1121-0029-0720.zip
"1120 Series U-Channel (41 Hole, 1008mm Length)",1120-0041-1008,https://www.gobilda.com/1120-series-u-channel-41-hole-1008mm-length/,42.99,https://www.gobilda.com/content/step_files/1120-0041-1008.zip
"5202 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 6mm D-Shaft, 312 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0019,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-24mm-length-6mm-d-shaft-312-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0019.zip
"1121 Series Low-Side U-Channel (49 Hole, 1200mm Length)",1121-0049-1200,https://www.gobilda.com/1121-series-low-side-u-channel-49-hole-1200mm-length/,48.99,https://www.gobilda.com/content/step_files/1121-0049-1200.zip
"1121 Series Low-Side U-Channel (25 Hole, 624mm Length)",1121-0025-0624,https://www.gobilda.com/1121-series-low-side-u-channel-25-hole-624mm-length/,26.99,https://www.gobilda.com/content/step_files/1121-0025-0624.zip
"1121 Series Low-Side U-Channel (18 Hole, 456mm Length)",1121-0018-0456,https://www.gobilda.com/1121-series-low-side-u-channel-18-hole-456mm-length/,19.99,https://www.gobilda.com/content/step_files/1121-0018-0456.zip
"5202 Series Yellow Jacket Planetary Gear Motor (26.9:1 Ratio, 24mm Length 6mm D-Shaft, 223 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0027,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-26-9-1-ratio-24mm-length-6mm-d-shaft-223-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0027.zip
"1120 Series U-Channel (37 Hole, 912mm Length)",1120-0037-0912,https://www.gobilda.com/1120-series-u-channel-37-hole-912mm-length/,38.99,https://www.gobilda.com/content/step_files/1120-0037-0912.zip
"1121 Series Low-Side U-Channel (21 Hole, 528mm Length)",1121-0021-0528,https://www.gobilda.com/1121-series-low-side-u-channel-21-hole-528mm-length/,22.99,https://www.gobilda.com/content/step_files/1121-0021-0528.zip
"1120 Series U-Channel (15 Hole, 384mm Length)",1120-0015-0384,https://www.gobilda.com/1120-series-u-channel-15-hole-384mm-length/,17.99,https://www.gobilda.com/content/step_files/1120-0015-0384.zip
"5202 Series Yellow Jacket Planetary Gear Motor (13.7:1 Ratio, 24mm Length 6mm D-Shaft, 435 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0014,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-13-7-1-ratio-24mm-length-6mm-d-shaft-435-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0014.zip
"5204 Series Yellow Jacket Planetary Gear Motor (5.2:1 Ratio, 80mm Length 8mm REX™ Shaft, 1150 RPM, 3.3 - 5V Encoder)",5204-8002-0005,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-5-2-1-ratio-80mm-length-8mm-rex-shaft-1150-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0005.zip
"1121 Series Low-Side U-Channel (17 Hole, 432mm Length)",1121-0017-0432,https://www.gobilda.com/1121-series-low-side-u-channel-17-hole-432mm-length/,18.99,https://www.gobilda.com/content/step_files/1121-0017-0432.zip
"5203 Series Yellow Jacket Planetary Gear Motor (5.2:1 Ratio, 24mm Length 8mm REX™ Shaft, 1150 RPM, 3.3 - 5V Encoder)",5203-2402-0005,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-5-2-1-ratio-24mm-length-8mm-rex-shaft-1150-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0005.zip
"5202 Series Yellow Jacket Planetary Gear Motor (5.2:1 Ratio, 24mm Length 6mm D-Shaft, 1150 RPM, ⌀36mm Gearbox, 3.3 - 5V Encoder)",5202-2402-0005,https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-5-2-1-ratio-24mm-length-6mm-d-shaft-1150-rpm-36mm-gearbox-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5202-2402-0005.zip
"1121 Series Low-Side U-Channel (16 Hole, 408mm Length)",1121-0016-0408,https://www.gobilda.com/1121-series-low-side-u-channel-16-hole-408mm-length/,17.99,https://www.gobilda.com/content/step_files/1121-0016-0408.zip
"1143 Series Mini Low-Side U-Channel (15 Hole, 384mm Length)",1143-0015-0384,https://www.gobilda.com/1143-series-mini-low-side-u-channel-15-hole-384mm-length/,14.19,https://www.gobilda.com/content/step_files/1143-0015-0384.zip
Modern Robotics/MATRIX 12VDC Motor,5000-0002-0001,https://www.gobilda.com/modern-robotics-matrix-12vdc-motor/,14.99,https://www.gobilda.com/content/step_files/5000-0002-0001.zip
"1120 Series U-Channel (10 Hole, 264mm Length)",1120-0010-0264,https://www.gobilda.com/1120-series-u-channel-10-hole-264mm-length/,12.99,https://www.gobilda.com/content/step_files/1120-0010-0264.zip
"1120 Series U-Channel (11 Hole, 288mm Length)",1120-0011-0288,https://www.gobilda.com/1120-series-u-channel-11-hole-288mm-length/,13.99,https://www.gobilda.com/content/step_files/1120-0011-0288.zip
"1143 Series Mini Low-Side U-Channel (14 Hole, 360mm Length)",1143-0014-0360,https://www.gobilda.com/1143-series-mini-low-side-u-channel-14-hole-360mm-length/,13.39,https://www.gobilda.com/content/step_files/1143-0014-0360.zip
"1120 Series U-Channel (13 Hole, 336mm Length)",1120-0013-0336,https://www.gobilda.com/1120-series-u-channel-13-hole-336mm-length/,15.99,https://www.gobilda.com/content/step_files/1120-0013-0336.zip
"1120 Series U-Channel (14 Hole, 360mm Length)",1120-0014-0360,https://www.gobilda.com/1120-series-u-channel-14-hole-360mm-length/,16.99,https://www.gobilda.com/content/step_files/1120-0014-0360.zip
"1121 Series Low-Side U-Channel (15 Hole, 384mm Length)",1121-0015-0384,https://www.gobilda.com/1121-series-low-side-u-channel-15-hole-384mm-length/,16.99,https://www.gobilda.com/content/step_files/1121-0015-0384.zip
